sq_mt_built,n_rooms,n_bathrooms,has_lift,has_parking,is_exterior,floor,energy_certificate,neighborhood,house_type,rent_price,buy_price
72,3,1,True,False,True,3,unknown,San Andrés,flat,625,119900
100,4,2,True,False,True,1,unknown,Los Ángeles,flat,762,154900
70,3,1,True,False,True,4,unknown,Los Ángeles,flat,625,119900
60,2,1,False,False,True,0,unknown,San Cristóbal,flat,289,79900
60,2,1,False,False,True,2,unknown,San Andrés,flat,289,79900
91,3,2,False,False,True,3,unknown,Los Ángeles,flat,666,129900
74,3,1,False,False,True,2,unknown,San Andrés,flat,539,99900
110,3,2,True,True,True,5,unknown,Butarque,flat,1135,275000
83,3,1,False,False,True,3,unknown,San Andrés,flat,501,91500
65,2,1,False,False,True,other,unknown,San Andrés,flat,479,86860
58,3,1,False,False,True,3,bad,Butarque,flat,561,105000
82,3,1,False,False,True,4,unknown,San Andrés,flat,625,120000
83,3,1,True,False,True,0,unknown,San Andrés,flat,686,135000
90,2,1,True,False,True,0,good,Butarque,flat,954,212000
95,2,2,True,False,True,5,unknown,San Cristóbal,flat,864,184000
89,3,1,False,False,True,0,unknown,San Andrés,flat,780,160000
178,4,2,True,True,True,5,unknown,Los Rosales,flat,1200,299990
59,2,1,False,False,True,2,unknown,Los Rosales,flat,613,117000
100,4,1,True,False,True,0,unknown,Los Ángeles,flat,798,165000
68,3,1,False,False,True,4,bad,San Andrés,flat,517,95000
50,2,1,False,False,True,2,unknown,San Andrés,flat,566,106000
114,4,2,True,False,True,2,unknown,San Andrés,flat,1006,229000
81,3,2,True,True,True,3,unknown,San Andrés,flat,762,155000
91,2,2,True,True,True,5,unknown,Butarque,flat,1004,228208
95,3,1,False,False,True,3,unknown,Butarque,flat,539,100000
80,3,1,False,False,True,0,unknown,San Andrés,flat,705,140000
80,3,1,True,False,True,3,unknown,Los Ángeles,flat,798,165000
60,2,1,True,False,True,5,unknown,San Cristóbal,flat,264,73000
50,1,1,True,True,True,6,unknown,San Andrés,flat,777,159000
136,3,1,False,False,True,1,unknown,San Andrés,flat,690,135990
96,2,2,True,True,True,7,unknown,Los Ángeles,flat,948,210000
71,2,2,True,False,True,2,unknown,Los Rosales,flat,910,198000
74,2,1,False,False,True,1,unknown,Los Rosales,flat,705,139900
65,2,1,False,False,True,2,bad,San Cristóbal,flat,583,110000
93,3,1,True,False,True,9,unknown,Los Ángeles,flat,780,160000
75,3,1,False,False,True,2,unknown,San Andrés,flat,553,103000
63,3,1,False,False,False,other,unknown,Los Rosales,flat,539,100000
65,3,1,False,False,True,4,unknown,San Andrés,flat,494,90000
63,2,1,True,False,True,2,unknown,San Cristóbal,flat,298,82260
72,3,1,True,False,True,6,unknown,Los Ángeles,flat,703,139400
100,2,2,True,True,True,0,unknown,San Andrés,flat,762,154900
90,3,2,True,True,True,3,good,San Andrés,flat,762,155000
66,3,1,False,False,True,2,unknown,San Cristóbal,flat,485,88000
102,3,2,True,False,True,5,unknown,Los Ángeles,flat,994,225000
105,2,1,True,True,True,6,unknown,Los Rosales,flat,881,189000
95,4,1,False,False,True,4,unknown,Los Rosales,flat,698,138000
120,3,1,True,False,True,2,unknown,Los Ángeles,flat,901,195000
90,3,2,True,True,True,4,good,Butarque,flat,985,222000
64,3,1,False,False,True,0,unknown,Los Rosales,flat,291,80500
80,3,1,True,False,True,3,unknown,Los Ángeles,flat,857,182000
120,3,2,False,True,True,2,unknown,San Andrés,flat,1187,295000
82,2,2,True,True,True,6,unknown,Los Ángeles,flat,1122,270000
81,3,1,False,False,True,3,bad,Butarque,flat,609,116100
103,3,2,True,True,True,4,unknown,Los Rosales,flat,1067,250000
63,3,1,False,False,True,4,unknown,Los Ángeles,flat,289,79900
70,3,1,True,False,True,3,unknown,San Cristóbal,flat,535,99000
45,2,1,False,False,True,3,unknown,Los Rosales,flat,561,105000
95,3,1,False,False,True,2,unknown,Los Rosales,flat,666,130000
70,3,1,False,False,True,2,unknown,Los Rosales,flat,625,120000
71,3,1,True,False,True,1,bad,Los Rosales,flat,740,149000
70,3,1,True,False,True,3,bad,Los Rosales,flat,686,135000
98,4,2,True,False,True,0,unknown,Los Rosales,flat,1009,230000
55,3,1,False,False,True,2,unknown,Los Ángeles,flat,499,91000
115,4,1,False,False,True,1,unknown,Los Rosales,flat,867,184900
68,3,1,False,False,True,4,unknown,San Cristóbal,flat,465,83900
120,3,1,False,True,True,2,unknown,San Andrés,flat,851,180000
64,3,1,False,False,True,1,unknown,San Cristóbal,flat,275,76000
92,4,1,True,False,True,5,unknown,Los Ángeles,flat,791,163000
154,3,2,True,True,True,3,unknown,Butarque,flat,1148,280000
105,3,2,False,False,True,0,good,Los Rosales,flat,851,180000
70,2,1,False,False,True,0,unknown,San Andrés,flat,658,128000
93,3,1,True,False,True,2,unknown,Los Ángeles,flat,803,166200
86,3,1,True,False,False,4,unknown,San Andrés,flat,662,129000
75,3,2,False,False,True,1,unknown,Los Ángeles,flat,674,132000
85,3,1,False,False,True,0,unknown,San Andrés,flat,686,135000
65,2,1,False,False,True,0,unknown,San Andrés,flat,535,99000
68,3,1,False,False,True,2,unknown,San Cristóbal,flat,485,88000
75,3,1,False,False,False,5,unknown,Los Ángeles,flat,583,110000
83,2,1,True,False,True,1,unknown,San Andrés,flat,728,146000
95,3,1,False,False,False,0,unknown,San Andrés,flat,592,112000
30,1,1,False,False,True,0,bad,San Cristóbal,flat,213,59000
53,1,1,True,True,True,6,unknown,Butarque,flat,728,146000
125,3,3,True,False,True,7,unknown,Butarque,attic,1135,275000
153,4,2,True,True,True,1,unknown,San Andrés,flat,844,178000
86,3,1,True,False,False,4,unknown,San Andrés,flat,662,129000
66,2,1,False,False,True,2,unknown,San Cristóbal,flat,521,96000
63,3,1,False,False,True,4,unknown,San Cristóbal,flat,297,82000
95,3,1,False,True,True,0,unknown,San Andrés,flat,913,199000
65,2,1,True,True,True,2,unknown,San Andrés,flat,1015,232000
69,2,1,True,False,True,1,unknown,San Andrés,flat,1038,240000
90,3,2,True,True,True,4,unknown,San Andrés,flat,823,172000
60,3,1,True,False,True,2,unknown,San Cristóbal,flat,298,82260
65,2,1,True,False,True,0,unknown,Los Ángeles,flat,579,109000
115,4,1,True,False,True,1,unknown,Los Ángeles,flat,678,133000
83,3,2,True,False,True,1,unknown,San Cristóbal,flat,587,111000
55,2,1,False,False,True,2,unknown,San Andrés,flat,583,110000
80,2,2,True,True,True,1,unknown,Butarque,flat,851,179990
